number,filename,tempo,scale,chromagram,zero_crossing_rate,spectral_rolloff,spectral_centroid,spectral_bandwidth,rmse,danceability,percentile_10,percentile_90,dynamic_comp
36,supercollider/SC_200330_172022.aiff,172.265625,1.0,0.513240357528274,0.011542312629766144,862.8942817086872,542.8694225375496,669.4498085340797,0.24268820298252688,1.7290072173168065,240.5672143959221,349.2835971182044,1.2356324237621674
37,supercollider/SC_200330_172252.aiff,86.1328125,0.0,0.25239126859650246,0.01540662179748226,715.597243666082,670.6953377837025,876.5280450220743,0.12648588767655333,1.4659881308263687,154.5948069913209,168.56060862793916,2.4600703635588372
38,supercollider/SC_200330_173541.aiff,107.666015625,1.0,0.2889689802540363,0.01880393892385047,1011.0296356167581,847.6148866980727,1033.6844694181955,0.20983444003547153,1.4912280084565084,247.76609039910963,300.29641642894,1.2452222893427327
39,supercollider/SC_200330_173814.aiff,129.19921875,0.0,0.3783365268752651,0.05199344469048634,3183.6481259229454,1991.3932927316,1940.9979251875207,0.22024643733463467,1.1912221317869363,105.27207091765716,378.5790572399401,4.643895471209669
40,supercollider/SC_200330_174922.aiff,150.732421875,1.0,0.3178985236232329,0.06984783068673965,7082.599271835106,3224.6120132307005,3305.808901599232,0.17436672303922468,0.8811778115008846,33.212446653248165,305.51304260014,3.698789473955333
41,supercollider/SC_200330_184432.aiff,172.265625,0.0,0.31537026918882105,0.0387711473170633,2523.176890189373,1402.5771063896982,1404.7017756865757,0.18950397428335566,0.7805033476787159,60.9805508977644,410.82403016911496,4.949046399276903
42,supercollider/SC_200330_184658.aiff,86.1328125,1.0,0.36500755051166395,0.01883157172931693,1261.3008135056089,863.3063786809704,1157.4717722825758,0.035231813807390225,1.2666198136010165,32.59247793578128,57.73474362724296,7.265299963020486
43,supercollider/SC_200330_191422.aiff,107.666015625,0.0,0.5212462558139218,0.022304250294283692,2128.0194364805375,1151.728406335747,1568.5970141310718,0.14861867782728344,1.6724805778463911,143.04027572319967,221.24887306169003,2.108840462480356
44,supercollider/SC_200330_191805.aiff,129.19921875,1.0,0.5224475455438585,0.02463462284824992,1940.3079080482546,1032.9766783877267,1197.198818382641,0.12824874893279378,1.6509596653216791,148.6845924931747,163.4243074524055,1.7816549845357295
45,supercollider/SC_200330_192216.aiff,150.732421875,0.0,0.4468693708005084,0.028834488278711996,2522.6662836071423,1290.1564219098332,1447.6539832849298,0.13885952112182784,1.2345123255640331,101.21835210423129,232.61138292129257,2.540560580816488
46,supercollider/SC_200330_192541.aiff,172.265625,1.0,0.3393442667126637,0.03960472511166465,3383.9038294929264,1612.7972983097766,1646.9645523343204,0.09581437987795306,1.903418665945366,126.85603385499135,87.54815054207477,1.490640906440877
47,supercollider/SC_200330_192819.aiff,86.1328125,0.0,0.3370529684186685,0.026725676951935937,2459.1806525042625,1327.1310822570215,1496.1398304560112,0.07163316515817571,1.6569440611372492,77.69653898414039,97.59081321604955,3.9634699661794395
48,supercollider/SC_200330_193042.aiff,107.666015625,1.0,0.3214063309072178,0.09283215303312078,7682.372616643137,3528.181429534021,3318.8070373614273,0.06931293057345703,1.4635959120692819,23.409778319665804,100.03599668221156,4.789731086116427
49,supercollider/SC_200330_193439.aiff,129.19921875,0.0,0.32370722507365324,0.021688368079447663,1003.1609813478278,798.3416852859523,852.6178794585531,0.30132335444780073,1.4145486353321992,310.0110993747613,518.2136504207498,1.5593858004807535
50,supercollider/SC_200330_193816.aiff,150.732421875,1.0,0.4329298699505826,0.021445040752471597,1487.3076988375306,919.5771821178525,1067.8860514062728,0.25479223695790876,1.1847022828802702,258.10764502924144,439.1820123723014,2.147363959981618
